Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,38
design__inferred_latch__count,0
design__instance__count,2250
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005618529976345599
power__switching__total,0.0007779391598887742
power__leakage__total,1.905440960570104E-8
power__total,0.0013398112496361136
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.257269268726049
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25448457950135217
timing__hold__ws__corner:nom_tt_025C_1v80,0.36010628831449154
timing__setup__ws__corner:nom_tt_025C_1v80,3.3116053059336203
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.360106
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.373164
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,191
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26036382120568224
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25625627345415597
timing__hold__ws__corner:nom_ss_100C_1v60,0.9795463606388624
timing__setup__ws__corner:nom_ss_100C_1v60,-4.527464753471085
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-26.884278675312935
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.527464753471085
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.979546
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.496017
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2557086281761955
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25369196350608
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13087004073075326
timing__setup__ws__corner:nom_ff_n40C_1v95,6.362585305376289
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.130870
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.018402
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,212
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25484251541461445
clock__skew__worst_setup,0.2530515868473651
timing__hold__ws,0.12841261750739602
timing__setup__ws,-4.891010401790834
timing__hold__tns,0.0
timing__setup__tns,-29.052634897929977
timing__hold__wns,0
timing__setup__wns,-4.891010401790834
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128413
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,10.394949
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1610
design__instance__area__stdcell,14775.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.895843
design__instance__utilization__stdcell,0.895843
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,35
design__instance__area__class:inverter,131.376
design__instance__count__class:sequential_cell,28
design__instance__area__class:sequential_cell,735.706
design__instance__count__class:multi_input_combinational_cell,1137
design__instance__area__class:multi_input_combinational_cell,12161.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,640
design__instance__area__class:fill_cell,1717.9
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,8422.58
design__instance__displacement__mean,4.998
design__instance__displacement__max,134.66
route__wirelength__estimated,38359.7
design__violations,0
design__instance__count__class:timing_repair_buffer,175
design__instance__area__class:timing_repair_buffer,1322.52
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,125.12
design__instance__count__setup_buffer,97
design__instance__count__hold_buffer,12
flow__warnings__count:RSZ-0062,1
global_route__vias,3521
global_route__wirelength,63956
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
route__net,1401
route__net__special,2
route__drc_errors__iter:0,1181
route__wirelength__iter:0,43756
route__drc_errors__iter:1,640
route__wirelength__iter:1,43247
route__drc_errors__iter:2,674
route__wirelength__iter:2,43020
route__drc_errors__iter:3,190
route__wirelength__iter:3,42934
route__drc_errors__iter:4,19
route__wirelength__iter:4,42966
route__drc_errors__iter:5,0
route__wirelength__iter:5,42962
route__drc_errors,0
route__wirelength,42962
route__vias,10710
route__vias__singlecut,10710
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,224.07
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
